time,bdew,ed_netze
0:15,89.8,0.1049
0:30,84.9,0.0952
0:45,80.7,0.0874
1:00,76.6,0.0812
1:15,71.7,0.0770
1:30,66.6,0.0717
1:45,61.6,0.0707
2:00,57.4,0.0670
2:15,54.5,0.0655
2:30,52.6,0.0648
2:45,51.4,0.0634
3:00,50.8,0.0640
3:15,50.3,0.0628
3:30,50.0,0.0620
3:45,49.9,0.0607
4:00,49.9,0.0616
4:15,50.1,0.0609
4:30,50.4,0.0623
4:45,50.7,0.0629
5:00,50.8,0.0672
5:15,50.8,0.0687
5:30,50.9,0.0698
5:45,51.6,0.0738
6:00,53.3,0.0764
6:15,56.2,0.0813
6:30,60.4,0.0825
6:45,65.8,0.0876
7:00,72.4,0.0905
7:15,80.0,0.0958
7:30,88.5,0.0957
7:45,97.4,0.0983
8:00,106.5,0.1000
8:15,115.6,0.1036
8:30,124.4,0.1053
8:45,132.8,0.1094
9:00,140.7,0.1150
9:15,147.8,0.1211
9:30,154.0,0.1279
9:45,158.9,0.1315
10:00,162.3,0.1393
10:15,164.1,0.1407
10:30,164.7,0.1450
10:45,165.0,0.1475
11:00,165.6,0.1497
11:15,167.1,0.1535
11:30,169.4,0.1583
11:45,172.4,0.1629
12:00,175.6,0.1673
12:15,179.0,0.1659
12:30,181.9,0.1642
12:45,183.7,0.1606
13:00,183.9,0.1591
13:15,182.1,0.1575
13:30,178.7,0.1562
13:45,174.1,0.1567
14:00,169.0,0.1564
14:15,163.7,0.1582
14:30,158.9,0.1606
14:45,154.6,0.1631
15:00,151.5,0.1661
15:15,149.6,0.1672
15:30,148.6,0.1688
15:45,148.0,0.1673
16:00,147.3,0.1673
16:15,146.2,0.1668
16:30,145.0,0.1682
16:45,144.1,0.1698
17:00,144.0,0.1722
17:15,144.9,0.1760
17:30,146.9,0.1778
17:45,150.0,0.1806
18:00,154.0,0.1837
18:15,158.8,0.1848
18:30,164.0,0.1835
18:45,169.2,0.1831
19:00,174.0,0.1819
19:15,177.8,0.1806
19:30,180.5,0.1788
19:45,181.8,0.1762
20:00,181.4,0.1760
20:15,179.3,0.1726
20:30,175.7,0.1712
20:45,171.0,0.1656
21:00,165.6,0.1645
21:15,160.1,0.1636
21:30,155.1,0.1627
21:45,151.1,0.1627
22:00,149.0,0.1635
22:15,148.9,0.1755
22:30,149.6,0.1701
22:45,149.4,0.1623
23:00,146.5,0.1493
23:15,139.8,0.1453
23:30,130.3,0.1364
23:45,119.5,0.1281
0:00,109.0,0.1189
