time,bdew,ed_netze
0:15,100.1,0.1049
0:30,92.5,0.0952
0:45,85.9,0.0874
1:00,79.9,0.0812
1:15,74.1,0.0770
1:30,68.7,0.0717
1:45,63.9,0.0707
2:00,59.9,0.0670
2:15,57.0,0.0655
2:30,55.0,0.0648
2:45,53.5,0.0634
3:00,52.4,0.0640
3:15,51.5,0.0628
3:30,50.8,0.0620
3:45,50.2,0.0607
4:00,49.9,0.0616
4:15,49.9,0.0609
4:30,50.0,0.0623
4:45,50.1,0.0629
5:00,49.9,0.0672
5:15,49.5,0.0687
5:30,48.9,0.0698
5:45,48.4,0.0738
6:00,48.3,0.0764
6:15,48.7,0.0813
6:30,49.8,0.0825
6:45,51.9,0.0876
7:00,54.9,0.0905
7:15,59.2,0.0958
7:30,64.9,0.0957
7:45,72.3,0.0983
8:00,81.6,0.1000
8:15,92.9,0.1036
8:30,105.6,0.1053
8:45,119.0,0.1094
9:00,132.3,0.1150
9:15,144.8,0.1211
9:30,156.2,0.1279
9:45,166.0,0.1315
10:00,174.0,0.1393
10:15,180.0,0.1407
10:30,184.6,0.1450
10:45,188.7,0.1475
11:00,193.1,0.1497
11:15,198.3,0.1535
11:30,203.7,0.1583
11:45,208.7,0.1629
12:00,212.2,0.1673
12:15,213.7,0.1659
12:30,212.8,0.1642
12:45,209.0,0.1606
13:00,202.3,0.1591
13:15,192.4,0.1575
13:30,180.9,0.1562
13:45,169.2,0.1567
14:00,159.0,0.1564
14:15,151.4,0.1582
14:30,146.0,0.1606
14:45,141.6,0.1631
15:00,137.3,0.1661
15:15,132.4,0.1672
15:30,127.0,0.1688
15:45,121.6,0.1673
16:00,116.5,0.1673
16:15,112.2,0.1668
16:30,108.9,0.1682
16:45,106.7,0.1698
17:00,105.7,0.1722
17:15,106.1,0.1760
17:30,107.7,0.1778
17:45,110.4,0.1806
18:00,114.0,0.1837
18:15,118.3,0.1848
18:30,123.4,0.1835
18:45,129.2,0.1831
19:00,135.7,0.1819
19:15,142.8,0.1806
19:30,149.8,0.1788
19:45,155.7,0.1762
20:00,159.8,0.1760
20:15,161.4,0.1726
20:30,160.8,0.1712
20:45,159.0,0.1656
21:00,156.5,0.1645
21:15,153.9,0.1636
21:30,151.5,0.1627
21:45,149.3,0.1627
22:00,147.3,0.1635
22:15,145.4,0.1755
22:30,143.0,0.1701
22:45,139.2,0.1623
23:00,133.2,0.1493
23:15,124.4,0.1453
23:30,113.8,0.1364
23:45,102.5,0.1281
0:00,91.6,0.1189
