time,bdew,ed_netze
0:15,86.3,0.0937
0:30,76.9,0.0864
0:45,68.8,0.0802
1:00,62.4,0.0758
1:15,58.0,0.0729
1:30,55.3,0.0703
1:45,53.6,0.0692
2:00,52.4,0.0666
2:15,51.3,0.0655
2:30,50.3,0.0646
2:45,49.2,0.0638
3:00,48.3,0.0637
3:15,47.5,0.0637
3:30,46.9,0.0634
3:45,46.5,0.0630
4:00,46.6,0.0612
4:15,47.1,0.0626
4:30,48.0,0.0616
4:45,49.3,0.0640
5:00,50.8,0.0678
5:15,52.7,0.0717
5:30,55.6,0.0761
5:45,60.5,0.0832
6:00,68.2,0.0904
6:15,79.2,0.0979
6:30,92.0,0.1058
6:45,104.7,0.1113
7:00,115.7,0.1168
7:15,123.5,0.1233
7:30,128.6,0.1268
7:45,132.0,0.1280
8:00,134.8,0.1268
8:15,137.8,0.1250
8:30,140.7,0.1205
8:45,143.2,0.1167
9:00,144.8,0.1146
9:15,145.3,0.1154
9:30,144.9,0.1168
9:45,143.8,0.1186
10:00,142.3,0.1206
10:15,140.8,0.1237
10:30,139.5,0.1255
10:45,138.5,0.1260
11:00,138.2,0.1284
11:15,138.6,0.1321
11:30,140.1,0.1385
11:45,142.6,0.1453
12:00,146.5,0.1505
12:15,151.5,0.1492
12:30,156.7,0.1469
12:45,160.7,0.1448
13:00,162.3,0.1438
13:15,160.5,0.1430
13:30,156.1,0.1429
13:45,150.2,0.1419
14:00,144.0,0.1406
14:15,138.4,0.1405
14:30,133.6,0.1381
14:45,129.4,0.1371
15:00,125.7,0.1330
15:15,122.4,0.1309
15:30,119.6,0.1287
15:45,117.4,0.1254
16:00,115.7,0.1243
16:15,114.6,0.1251
16:30,114.2,0.1264
16:45,114.6,0.1282
17:00,115.7,0.1302
17:15,117.6,0.1336
17:30,120.3,0.1364
17:45,123.9,0.1409
18:00,128.2,0.1459
18:15,133.2,0.1527
18:30,138.9,0.1563
18:45,145.1,0.1600
19:00,151.5,0.1645
19:15,157.9,0.1688
19:30,163.8,0.1711
19:45,168.3,0.1726
20:00,170.6,0.1744
20:15,170.4,0.1745
20:30,168.3,0.1727
20:45,165.3,0.1698
21:00,162.3,0.1682
21:15,160.1,0.1679
21:30,158.4,0.1681
21:45,156.8,0.1678
22:00,154.8,0.1677
22:15,151.9,0.1777
22:30,147.9,0.1692
22:45,142.5,0.1574
23:00,135.7,0.1419
23:15,127.2,0.1311
23:30,117.5,0.1230
23:45,107.1,0.1125
0:00,96.5,0.1033
