time,bdew,ed_netze
0:15,80.2,0.0875
0:30,75.1,0.0782
0:45,70.7,0.0705
1:00,66.6,0.0669
1:15,62.3,0.0621
1:30,58.0,0.0568
1:45,54.1,0.0526
2:00,50.8,0.0466
2:15,48.4,0.0465
2:30,46.8,0.0434
2:45,45.7,0.0436
3:00,44.9,0.0422
3:15,44.4,0.0431
3:30,43.9,0.0419
3:45,43.5,0.0411
4:00,43.3,0.0412
4:15,43.1,0.0415
4:30,43.1,0.0419
4:45,43.1,0.0443
5:00,43.3,0.0522
5:15,43.6,0.0522
5:30,44.2,0.0496
5:45,45.4,0.0558
6:00,47.4,0.0629
6:15,50.5,0.0642
6:30,54.9,0.0707
6:45,60.7,0.0770
7:00,68.2,0.0821
7:15,77.5,0.0912
7:30,87.9,0.0928
7:45,98.6,0.0976
8:00,109.0,0.0965
8:15,118.4,0.0979
8:30,126.7,0.1007
8:45,133.8,0.1038
9:00,139.8,0.1063
9:15,144.7,0.1129
9:30,148.8,0.1184
9:45,152.4,0.1225
10:00,155.6,0.1257
10:15,158.9,0.1289
10:30,162.0,0.1323
10:45,164.9,0.1323
11:00,167.3,0.1354
11:15,169.2,0.1419
11:30,170.8,0.1462
11:45,172.5,0.1516
12:00,174.8,0.1545
12:15,177.7,0.1503
12:30,180.8,0.1466
12:45,183.1,0.1446
13:00,183.9,0.1413
13:15,182.7,0.1397
13:30,179.8,0.1387
13:45,175.8,0.1412
14:00,171.5,0.1383
14:15,167.2,0.1415
14:30,163.1,0.1426
14:45,159.2,0.1453
15:00,155.6,0.1472
15:15,152.3,0.1475
15:30,149.5,0.1474
15:45,147.2,0.1474
16:00,145.7,0.1491
16:15,145.0,0.1491
16:30,145.4,0.1505
16:45,146.7,0.1550
17:00,149.0,0.1583
17:15,152.3,0.1643
17:30,156.4,0.1699
17:45,161.5,0.1738
18:00,167.3,0.1760
18:15,173.7,0.1812
18:30,180.4,0.1852
18:45,186.7,0.1874
19:00,192.3,0.1918
19:15,196.5,0.1941
19:30,199.0,0.1933
19:45,199.4,0.1907
20:00,197.3,0.1878
20:15,192.4,0.1825
20:30,185.2,0.1772
20:45,176.6,0.1667
21:00,167.3,0.1609
21:15,157.9,0.1558
21:30,149.5,0.1524
21:45,142.9,0.1429
22:00,139.0,0.1432
22:15,138.3,0.1564
22:30,139.2,0.1552
22:45,139.5,0.1487
23:00,137.3,0.1332
23:15,131.1,0.1258
23:30,121.9,0.1203
23:45,111.5,0.1109
0:00,101.5,0.1015
