time,bdew,ed_netze
0:15,93.4,0.0961
0:30,86.8,0.0875
0:45,81.2,0.0814
1:00,75.7,0.0773
1:15,70.1,0.0720
1:30,64.5,0.0691
1:45,59.3,0.0635
2:00,54.9,0.0567
2:15,51.7,0.0550
2:30,49.4,0.0532
2:45,47.8,0.0528
3:00,46.6,0.0508
3:15,45.5,0.0512
3:30,44.5,0.0502
3:45,43.8,0.0486
4:00,43.3,0.0491
4:15,43.1,0.0506
4:30,43.1,0.0495
4:45,43.2,0.0518
5:00,43.3,0.0585
5:15,43.3,0.0585
5:30,43.3,0.0560
5:45,43.2,0.0610
6:00,43.3,0.0666
6:15,43.5,0.0673
6:30,44.3,0.0712
6:45,46.0,0.0760
7:00,49.1,0.0808
7:15,53.9,0.0917
7:30,60.4,0.0964
7:45,68.8,0.1040
8:00,79.1,0.1104
8:15,91.1,0.1174
8:30,104.3,0.1248
8:45,118.0,0.1316
9:00,131.5,0.1386
9:15,144.2,0.1449
9:30,155.5,0.1520
9:45,165.3,0.1571
10:00,173.1,0.1610
10:15,178.8,0.1668
10:30,183.1,0.1709
10:45,187.0,0.1751
11:00,191.4,0.1786
11:15,197.0,0.1890
11:30,203.0,0.1939
11:45,208.5,0.1984
12:00,212.2,0.2002
12:15,213.5,0.1937
12:30,211.8,0.1885
12:45,207.0,0.1831
13:00,198.9,0.1790
13:15,187.6,0.1728
13:30,174.6,0.1675
13:45,161.7,0.1618
14:00,150.6,0.1567
14:15,142.8,0.1532
14:30,137.6,0.1495
14:45,133.9,0.1469
15:00,130.7,0.1454
15:15,127.1,0.1416
15:30,123.1,0.1403
15:45,119.0,0.1397
16:00,114.9,0.1389
16:15,111.0,0.1383
16:30,107.7,0.1390
16:45,105.6,0.1423
17:00,104.9,0.1450
17:15,106.0,0.1523
17:30,108.8,0.1563
17:45,113.2,0.1616
18:00,119.0,0.1650
18:15,126.0,0.1690
18:30,133.7,0.1722
18:45,141.5,0.1744
19:00,149.0,0.1771
19:15,155.5,0.1808
19:30,160.6,0.1805
19:45,163.6,0.1789
20:00,164.0,0.1770
20:15,161.5,0.1751
20:30,157.1,0.1708
20:45,152.2,0.1621
21:00,148.2,0.1567
21:15,145.9,0.1533
21:30,144.7,0.1492
21:45,143.6,0.1407
22:00,141.5,0.1411
22:15,137.5,0.1525
22:30,131.8,0.1474
22:45,124.7,0.1380
23:00,116.5,0.1204
23:15,107.6,0.1131
23:30,98.4,0.1070
23:45,89.2,0.0969
0:00,80.7,0.0873
