time,bdew,ed_netze
0:15,77.8,0.0784
0:30,69.6,0.0716
0:45,62.4,0.0644
1:00,56.6,0.0607
1:15,52.5,0.0563
1:30,49.7,0.0537
1:45,47.9,0.0505
2:00,46.6,0.0453
2:15,45.5,0.0448
2:30,44.5,0.0443
2:45,43.8,0.0436
3:00,43.3,0.0436
3:15,43.0,0.0439
3:30,43.0,0.0431
3:45,43.1,0.0431
4:00,43.3,0.0427
4:15,43.4,0.0442
4:30,43.7,0.0439
4:45,44.2,0.0470
5:00,44.9,0.0545
5:15,46.3,0.0571
5:30,48.9,0.0583
5:45,53.7,0.0676
6:00,61.6,0.0780
6:15,72.9,0.0864
6:30,86.3,0.0985
6:45,100.1,0.1083
7:00,112.4,0.1154
7:15,121.8,0.1251
7:30,128.5,0.1270
7:45,132.9,0.1276
8:00,135.7,0.1238
8:15,137.2,0.1189
8:30,137.7,0.1128
8:45,137.7,0.1074
9:00,137.3,0.1038
9:15,136.9,0.1036
9:30,136.4,0.1044
9:45,135.7,0.1049
10:00,134.8,0.1064
10:15,133.7,0.1078
10:30,132.4,0.1090
10:45,131.4,0.1089
11:00,130.7,0.1109
11:15,130.6,0.1165
11:30,131.5,0.1206
11:45,133.6,0.1263
12:00,137.3,0.1302
12:15,142.6,0.1267
12:30,148.2,0.1245
12:45,152.8,0.1229
13:00,154.8,0.1229
13:15,153.2,0.1229
13:30,148.9,0.1228
13:45,143.2,0.1229
14:00,137.3,0.1186
14:15,132.4,0.1196
14:30,128.4,0.1182
14:45,124.8,0.1163
15:00,121.5,0.1137
15:15,118.1,0.1111
15:30,114.8,0.1072
15:45,111.7,0.1053
16:00,109.0,0.1039
16:15,106.9,0.1043
16:30,105.7,0.1051
16:45,105.5,0.1076
17:00,106.5,0.1107
17:15,109.1,0.1184
17:30,113.1,0.1222
17:45,118.3,0.1290
18:00,124.8,0.1362
18:15,132.4,0.1437
18:30,140.6,0.1510
18:45,149.1,0.1572
19:00,157.3,0.1665
19:15,164.9,0.1750
19:30,171.1,0.1792
19:45,175.2,0.1815
20:00,176.5,0.1818
20:15,174.5,0.1801
20:30,170.5,0.1766
20:45,165.7,0.1689
21:00,161.5,0.1636
21:15,158.9,0.1597
21:30,157.2,0.1553
21:45,155.4,0.1474
22:00,152.3,0.1450
22:15,147.2,0.1552
22:30,140.3,0.1489
22:45,132.1,0.1390
23:00,123.2,0.1192
23:15,114.0,0.1107
23:30,104.8,0.1035
23:45,95.6,0.0939
0:00,86.6,0.0850
