time,bdew,ed_netze
0:15,70.8,0.0857
0:30,68.2,0.076
0:45,65.9,0.0704
1:00,63.3,0.0671
1:15,59.5,0.0624
1:30,55,0.0583
1:45,50.5,0.0537
2:00,46.6,0.0449
2:15,43.9,0.0438
2:30,42.3,0.0411
2:45,41.4,0.0388
3:00,40.8,0.0374
3:15,40.3,0.0367
3:30,39.9,0.0352
3:45,39.5,0.0359
4:00,39.1,0.0348
4:15,38.8,0.0369
4:30,38.5,0.0361
4:45,38.3,0.0389
5:00,38.3,0.0448
5:15,38.5,0.0466
5:30,39.1,0.0441
5:45,40.3,0.0502
6:00,42.4,0.0563
6:15,45.6,0.0549
6:30,49.9,0.0616
6:45,55.3,0.0672
7:00,61.6,0.0723
7:15,68.9,0.0869
7:30,77.1,0.0904
7:45,86.1,0.0936
8:00,95.7,0.096
8:15,105.8,0.0969
8:30,115.8,0.0977
8:45,124.9,0.0989
9:00,132.3,0.1005
9:15,137.6,0.1024
9:30,141.1,0.107
9:45,143.3,0.1089
10:00,144.8,0.1103
10:15,146,0.1127
10:30,147.2,0.1143
10:45,148.4,0.1156
11:00,149.8,0.1171
11:15,151.5,0.1259
11:30,153.5,0.1294
11:45,156,0.133
12:00,159,0.1362
12:15,162.4,0.129
12:30,165.8,0.1278
12:45,168.4,0.125
13:00,169.8,0.1225
13:15,169.4,0.1204
13:30,167.6,0.1206
13:45,164.8,0.124
14:00,161.5,0.1212
14:15,158.1,0.1248
14:30,154.9,0.1276
14:45,151.8,0.13
15:00,149,0.1317
15:15,146.5,0.1327
15:30,144.4,0.1343
15:45,142.7,0.137
16:00,141.5,0.1388
16:15,140.9,0.1411
16:30,141.7,0.1442
16:45,144.9,0.1526
17:00,151.5,0.1605
17:15,161.9,0.1776
17:30,174.6,0.1838
17:45,187.4,0.1915
18:00,198.1,0.1945
18:15,205.2,0.1957
18:30,209.1,0.1984
18:45,211.1,0.194
19:00,212.2,0.1914
19:15,213.2,0.1885
19:30,213,0.1849
19:45,210.4,0.1785
20:00,203.9,0.1715
20:15,192.9,0.165
20:30,179,0.1586
20:45,164.4,0.1471
21:00,151.5,0.1392
21:15,141.9,0.1358
21:30,135.3,0.132
21:45,131,0.1246
22:00,128.2,0.1253
22:15,126.1,0.1401
22:30,124.1,0.1387
22:45,121.6,0.1338
23:00,118.2,0.1196
23:15,113.4,0.1155
23:30,107.4,0.1105
23:45,100.8,0.1028
0:00,94.1,0.0952
