time,bdew,ed_netze
0:15,87.5,0.0938
0:30,81.1,0.0861
0:45,75,0.0813
1:00,69.1,0.079
1:15,63.4,0.0736
1:30,58.2,0.0692
1:45,53.6,0.0638
2:00,49.9,0.0546
2:15,47.3,0.0519
2:30,45.5,0.0493
2:45,44.2,0.0467
3:00,43.3,0.0447
3:15,42.4,0.0442
3:30,41.5,0.0423
3:45,40.7,0.0426
4:00,40,0.0422
4:15,39.3,0.043
4:30,38.8,0.0426
4:45,38.5,0.045
5:00,38.3,0.0507
5:15,38.3,0.0514
5:30,38.4,0.0486
5:45,38.7,0.0529
6:00,39.1,0.0586
6:15,39.7,0.0557
6:30,40.4,0.0599
6:45,41.3,0.0653
7:00,42.4,0.0697
7:15,44,0.085
7:30,46.6,0.0888
7:45,51.1,0.097
8:00,58.3,0.1023
8:15,68.6,0.1066
8:30,81.3,0.1137
8:45,95.2,0.1185
9:00,109,0.1235
9:15,121.9,0.128
9:30,133.7,0.1361
9:45,144.4,0.1388
10:00,154,0.1433
10:15,162.6,0.1476
10:30,170.5,0.1514
10:45,178,0.1549
11:00,185.6,0.159
11:15,193.3,0.1704
11:30,200.6,0.1755
11:45,206.6,0.1803
12:00,210.6,0.1819
12:15,211.8,0.1734
12:30,210.2,0.1701
12:45,205.9,0.1644
13:00,198.9,0.1582
13:15,189.6,0.1527
13:30,178.7,0.148
13:45,167.3,0.146
14:00,156.5,0.1391
14:15,147,0.1384
14:30,138.9,0.135
14:45,132.1,0.1331
15:00,126.5,0.131
15:15,122,0.1291
15:30,118.1,0.1296
15:45,114.8,0.1298
16:00,111.5,0.1305
16:15,108.3,0.1315
16:30,105.9,0.1356
16:45,105.2,0.1424
17:00,107.4,0.1505
17:15,112.9,0.1671
17:30,120.9,0.174
17:45,130,0.1811
18:00,139,0.1851
18:15,146.8,0.1866
18:30,153.5,0.189
18:45,159.7,0.1862
19:00,165.6,0.1839
19:15,171.5,0.1829
19:30,176.4,0.1792
19:45,179.1,0.1747
20:00,178.1,0.1699
20:15,172.9,0.1648
20:30,164.7,0.1584
20:45,155.6,0.147
21:00,147.3,0.1403
21:15,141.4,0.1354
21:30,137.2,0.1318
21:45,133.7,0.1246
22:00,129.8,0.1253
22:15,124.8,0.1372
22:30,118.6,0.1334
22:45,111.6,0.1273
23:00,104,0.109
23:15,96.2,0.1074
23:30,88.4,0.1028
23:45,80.7,0.0947
0:00,73.2,0.086
