time,bdew,ed_netze
0:15,67.6,0.0815
0:30,60.8,0.0742
0:45,54.9,0.0672
1:00,49.9,0.0624
1:15,46.2,0.0576
1:30,43.6,0.0542
1:45,41.9,0.0499
2:00,40.8,0.0416
2:15,40.1,0.0405
2:30,39.6,0.0387
2:45,39.4,0.0373
3:00,39.1,0.0372
3:15,38.8,0.0362
3:30,38.6,0.0357
3:45,38.3,0.0358
4:00,38.3,0.0362
4:15,38.4,0.0374
4:30,38.8,0.0371
4:45,39.3,0.0402
5:00,40.0,0.0478
5:15,40.9,0.0516
5:30,43.1,0.0516
5:45,47.7,0.0616
6:00,55.8,0.0724
6:15,68.0,0.0770
6:30,82.8,0.0895
6:45,98.0,0.0989
7:00,111.5,0.1068
7:15,121.6,0.1207
7:30,128.5,0.1228
7:45,132.7,0.1235
8:00,134.8,0.1197
8:15,135.4,0.1131
8:30,134.8,0.1057
8:45,133.1,0.0995
9:00,130.7,0.0939
9:15,127.7,0.0909
9:30,124.6,0.0918
9:45,121.5,0.0913
10:00,119.0,0.0917
10:15,117.3,0.0926
10:30,116.2,0.0930
10:45,115.7,0.0927
11:00,115.7,0.0939
11:15,116.1,0.1023
11:30,117.0,0.1053
11:45,118.7,0.1097
12:00,121.5,0.1130
12:15,125.4,0.1049
12:30,129.6,0.1050
12:45,133.0,0.1031
13:00,134.8,0.1022
13:15,134.2,0.1034
13:30,131.7,0.1030
13:45,128.0,0.1056
14:00,124.0,0.1023
14:15,120.2,0.1047
14:30,116.8,0.1040
14:45,113.7,0.1030
15:00,110.7,0.1009
15:15,107.9,0.0992
15:30,105.5,0.0968
15:45,103.5,0.0962
16:00,102.4,0.0956
16:15,102.2,0.0970
16:30,103.2,0.1005
16:45,105.6,0.1067
17:00,109.9,0.1151
17:15,116.0,0.1318
17:30,123.7,0.1387
17:45,132.6,0.1469
18:00,142.3,0.1541
18:15,152.4,0.1593
18:30,162.2,0.1675
18:45,171.2,0.1688
19:00,178.9,0.1734
19:15,184.7,0.1770
19:30,188.2,0.1774
19:45,188.9,0.1760
20:00,186.4,0.1719
20:15,180.7,0.1671
20:30,172.7,0.1616
20:45,163.9,0.1512
21:00,155.6,0.1433
21:15,148.9,0.1394
21:30,143.4,0.1354
21:45,138.4,0.1272
22:00,133.2,0.1273
22:15,127.2,0.1385
22:30,120.5,0.1340
22:45,113.3,0.1269
23:00,105.7,0.1088
23:15,98.0,0.1049
23:30,90.2,0.0998
23:45,82.5,0.0912
0:00,74.9,0.0829
